Item ID	Item Name	SKU	HSN/SAC	Description	Rate	Account	Account Code	Taxable	Exemption Reason	Taxability Type	Product Type	Intra State Tax Name	Intra State Tax Rate	Intra State Tax Type	Inter State Tax Name	Inter State Tax Rate	Inter State Tax Type	Source	Reference ID	Last Sync Time	Status	Usage unit	Unit Name	Purchase Rate	Purchase Account	Purchase Account Code	Purchase Description	Inventory Account	Inventory Account Code	Inventory Valuation Method	Reorder Point	Vendor	Opening Stock	Opening Stock Value	Stock On Hand	Item Type	Sellable	Purchasable	Track Inventory
1010001	RF01 6 A Flat Switch	EL-HS-1001	85361010		INR 16.60	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 15.45	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 14.95		Sales and Purchases	true	true	true
1010002	RF02 6 A 2 W Flat Switch	EL-HS-1002	85361010		INR 50.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 43.85	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 39.65		Sales and Purchases	true	true	true
1010003	RF03 6 A Bell Push Flat Switch	EL-HS-1003	85365020		INR 46.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 40.34	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 36.49		Sales and Purchases	true	true	true
1010004	RF04-16 16 A Flat Switch	EL-HS-1004	85361020		INR 53.60	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 38.19	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 38.19		Sales and Purchases	true	true	true
1010005	RF04L 20 A Flat Switch (Load Safe)	EL-HS-1005	85361010		INR 64.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 56.13	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 50.87		Sales and Purchases	true	true	true
1010006	RF05-16 16 A 2 W Flat switch	EL-HS-1006	85361020		INR 60.45	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 53.01	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 53.01		Sales and Purchases	true	true	true
1010007	RF05-20 20 A 2 W Flat switch (PC Back)	EL-HS-1007	85361020		INR 76.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 66.65	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 68.77		Sales and Purchases	true	true	true
1010008	RL01-10 10 A 1 Way Switch Life Style	EL-HS-1011	85361010		INR 18.60	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 17.45	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 17.60		Sales and Purchases	true	true	true
1010009	RL01-06 06 A 1 Way Switch Life Style	EL-HS-1012	85361010		INR 17.50	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 16.30	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 16.30		Sales and Purchases	true	true	true
1010010	RL02-10 10 A 2 Way Switch Life Style	EL-HS-1013	85361010		INR 56.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 49.11	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 46.66		Sales and Purchases	true	true	true
1010011	RL02-06 06 A 2 Way Switch Life Style	EL-HS-1014	85361010		INR 42.25	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 37.05	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 37.05		Sales and Purchases	true	true	true
1010012	RL03 Bell Push Life Style	EL-HS-1015	85365020		INR 46.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 40.34	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 37.54		Sales and Purchases	true	true	true
1010013	RL04-16 16 A 1 Way Switch Life Style	EL-HS-1016	85361020		INR 42.25	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 37.05	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 37.05		Sales and Purchases	true	true	true
1010014	RL04-20 20 A 1 Way Switch Life Style	EL-HS-1017	85361020		INR 60.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 52.62	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 46.66		Sales and Purchases	true	true	true
1010015	RL05-16 16 A 2 Way Switch Life Style	EL-HS-1018	85361020		INR 60.45	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 53.01	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 53.01		Sales and Purchases	true	true	true
1010016	RL05-20 20 A 2 Way Switch Life Style	EL-HS-1019	85361020		INR 80.00	Sales		true			goods	GST18	18	Group	IGST18	18	Simple	2			Active	pcs	Pieces	INR 70.16	Cost of Goods Sold		LP-16 WEF 2026-02-12	Inventory Asset				VIJAY ENTERPRISES	0	INR 65.96		Sales and Purchases	true	true	true
